"","coach","obvious_go_pct","avg_croot_points","one_score_game_win_pct","early_down_pass_rate","DVOE","cluster"
"69","James Franklin",0.397058823529412,251.75,0.657142857142857,0.405133928571429,171.3,"2"
"70","Jamey Chadwell",0.628571428571429,119.393333333333,0.25,0.349323493234932,-9.1,"1"
"71","Jason Candle",0.5,155.946,0.578947368421053,0.331976941336046,-41,"1"
"72","Jay Hopson",0.56,150.912,0.714285714285714,0.397493908806126,-32.3,"1"
"73","Jay Norvell",0.611111111111111,139.68,0.555555555555556,0.438880706921944,31.8,"1"
"74","Jeff Brohm",0.410958904109589,163.024285714286,0.8125,0.46996303142329,-50.6,"2"
"75","Jeff Hafley",0.5,170.36,1,0.433962264150943,31.3,"2"
"76","Jeff Monken",0.648648648648649,114.455714285714,0.708333333333333,0.0835529783869267,-101.9,"3"
"77","Jeff Quinn",0.333333333333333,108.06,1,0.365333333333333,-16.5,"2"
"78","Jeff Tedford",0.384615384615385,144.323333333333,0.857142857142857,0.376826196473552,-47.4,"2"
"79","Jeff Traylor",0.666666666666667,142.53,1,0.373333333333333,-30.5,"3"
"80","Jeremy Pruitt",0.346153846153846,253.97,1,0.332018408941486,-559.5,"2"
"81","Jerry Kill",0.357142857142857,172.32,0.333333333333333,0.292682926829268,15.6,"1"
"82","Jim Grobe",0.642857142857143,191.99,0.5,0.394018205461639,153.5,"1"
"83","Jim Harbaugh",0.348837209302326,255.88,0.5,0.332148298628746,24.9,"2"
"84","Jim McElwain",0.568181818181818,188.54,0.823529411764706,0.391953277092797,-23.5,"2"
"85","Jim Mora",0.277777777777778,256.16,0.633333333333333,0.44198707043212,102.2,"2"
"86","Jimbo Fisher",0.276595744680851,283.958571428571,0.731707317073171,0.404207516339869,-7.3,"2"
"87","Joe Moglia",0.454545454545455,120.13,1,0.279293739967897,-0.9,"3"
"88","Joey Jones",0.375,118.1425,0.684210526315789,0.378901619913078,-34.9,"1"
"89","John Bonamego",0.309090909090909,118.6925,0.722222222222222,0.413539367181751,-45.4,"1"
"90","Jonathan Smith",0.625,176.046666666667,0.285714285714286,0.394321766561514,-104.2,"1"
"91","Josh Heupel",0.55,173.236666666667,0.2,0.370880472208559,181.4,"1"
"92","Justin Fuente",0.306818181818182,186.201428571429,0.75,0.355144032921811,99.5,"2"
"93","Justin Wilcox",0.432432432432432,187.855,0.692307692307692,0.416082029141932,-186.5,"2"
"94","Kalani Sitake",0.384615384615385,164.482,0.666666666666667,0.394276629570747,-35.6,"2"
"95","Ken Niumatalolo",0.662337662337662,122.608571428571,0.869565217391304,0.134123222748815,-105.3,"3"
"96","Kevin Sumlin",0.4,219.87,0.916666666666667,0.403985056039851,457,"4"
"97","Kevin Wilson",0.431818181818182,177.905,0.411764705882353,0.348232848232848,77.5,"1"
"98","Kirby Smart",0.314285714285714,305.736,0.777777777777778,0.307309941520468,148.6,"2"
"99","Kirk Ferentz",0.380281690140845,188.738571428571,0.789473684210526,0.34833091436865,735.6,"4"
"100","Kliff Kingsbury",0.5,186.516,0.5,0.491003911342894,-27.4,"1"
"101","Kyle Flood",0.470588235294118,173.165,0.888888888888889,0.320472440944882,-96.4,"2"
"102","Kyle Whittingham",0.448979591836735,195.624285714286,0.714285714285714,0.338228749443703,213.8,"2"
"103","Lance Leipold",0.386363636363636,109.096666666667,1,0.362571342745569,-49.6,"2"
"104","Lane Kiffin",0.705882352941177,179.535,0.75,0.345885093167702,-297.9,"3"
"105","Larry Coker",0.392857142857143,100.805,0.25,0.344262295081967,-0.7,"1"
"106","Larry Fedora",0.474576271186441,214.508,0.76,0.390229717941262,-22.5,"2"
"107","Les Miles",0.387096774193548,244.7,0.5,0.304936305732484,33.2,"2"
"108","Lincoln Riley",0.516129032258065,271.5725,0.888888888888889,0.368719037508846,253.1,"2"
"109","Lovie Smith",0.333333333333333,177.27,0.692307692307692,0.343141153081511,-139.7,"2"
"110","Luke Fickell",0.566666666666667,178.39,0.842105263157895,0.348724179829891,-49.8,"3"
"111","Mack Brown",0.5,232.61,0.5,0.378294573643411,-140,"2"
"112","Major Applewhite",0.366666666666667,176.233333333333,1,0.39333722969024,42.5,"2"
"113","Manny Diaz",0.6,239.39,0.666666666666667,0.448768864177919,-134,"2"
"114","Mario Cristobal",0.413793103448276,265.896666666667,0.466666666666667,0.372822299651568,-98.7,"2"
"115","Mark Dantonio",0.396825396825397,218.265,0.75,0.366517857142857,76.9,"2"
"116","Mark Helfrich",0.454545454545455,231.55,0.636363636363636,0.344330855018587,220.2,"2"
"117","Mark Hudspeth",0.422222222222222,117.2075,0.833333333333333,0.357816182246661,-41.2,"2"
"118","Mark Richt",0.395348837209302,263.45,0.75,0.357446808510638,-337.1,"2"
"119","Mark Stoops",0.403225806451613,210.094285714286,0.615384615384615,0.323308270676692,-72.7,"2"
